64
g0 58 50
g1 59 22
g2 21 23
g3 57 48
g4 54 13
g5 28 26
g6 27 42
g7 26 55
g8 44 23
g9 59 g3
g10 59 36
g11 53 g7
g12 16 49
g13 0 54
g14 43 g4
g15 10 g13
g16 27 6
g17 g12 8
g18 34 0
g19 19 5
g20 38 27
g21 43 3
g22 23 g20
g23 47 g7
g24 28 54
g25 45 61
g26 44 38
g27 44 3
g28 7 g9
g29 62 14
g30 53 23
g31 39 10
g32 57 19
g33 17 13
g34 50 3
g35 0 33
g36 g26 29
g37 45 20
g38 60 45
g39 40 22
g40 38 42
g41 g3 0
g42 g9 26
g43 16 33
g44 26 5
g45 g12 g21
g46 g6 15
g47 36 44
g48 g26 g37
g49 3 25
g50 g49 g19
g51 4 33
g52 g37 61
g53 g24 g18
g54 55 28
g55 g30 g43
g56 63 51
g57 g51 g39
g58 g35 41
g59 57 30
g60 20 61
g61 25 g3
g62 34 g6
g63 6 g3
g64 23 26
g65 g52 45
g66 21 g16
g67 19 g32
g68 g41 g7
g69 32 g18
g70 g3 16
g71 g54 g43
g72 15 49
g73 g34 44
g74 g69 32
g75 36 g34
g76 24 g16
g77 g35 g11
g78 g27 g16
g79 g5 10
g80 g33 g15
g81 50 g43
g82 g71 g49
g83 13 g16
g84 52 g44
g85 g70 g48
g86 g69 g53
g87 g47 g57
g88 35 3
g89 g16 13
g90 60 g22
g91 g69 28
g92 g39 g85
g93 g75 g41
g94 g0 13
g95 g26 g6
g96 g74 62
g97 g43 g24
g98 g10 g43
g99 g63 g61
g100 g80 g60
g101 8 25
g102 6 g17
g103 g36 g62
g104 18 g63
g105 g104 g98
g106 16 g81
g107 24 21
g108 g76 g75
g109 g75 1
g110 25 3
g111 7 g14
g112 g49 g68
g113 g70 36
g114 g61 25
g115 g25 g43
g116 13 38
g117 44 g75
g118 g55 g4
g119 g105 42
g120 26 13
g121 59 8
g122 g2 g103
g123 g93 g13
g124 g82 g5
g125 16 40
g126 g25 47
g127 g92 32
g128 13 34
g129 g69 g13
g130 53 g105
g131 9 g13
g132 g90 g128
g133 21 g30
g134 52 g66
g135 7 g78
g136 g5 31
g137 g112 g135
g138 g110 g118
g139 g86 20
g140 g99 g92
g141 g32 g54
g142 g47 34
g143 g37 g43
g144 g1 19
g145 32 g13
g146 39 g130
g147 g118 g32
g148 g12 g20
g149 g0 g89
g150 g143 g75
g151 g11 g56
g152 21 0
g153 g54 g24
g154 g150 g113
g155 5 g120
g156 56 g139
g157 g22 g148
g158 63 g58
g159 19 g109
g160 g116 g67
g161 17 39
g162 50 g136
g163 32 g76
g164 g14 g114
g165 g66 g22
g166 g2 g1
g167 g59 g86
g168 g2 g79
g169 g10 g40
g170 38 62
g171 g33 g62
g172 10 g143
g173 g72 22
g174 g39 g83
g175 g27 g172
g176 g110 g53
g177 g45 g5
g178 g163 g90
g179 34 g133
g180 g41 g84
g181 g166 60
g182 g81 g150
g183 g126 g102
g184 g47 48
g185 g72 g128
g186 23 g175
g187 g54 g152
g188 g94 15
g189 g30 g30
g190 g59 g169
g191 g102 g86
g192 g70 g63
g193 g71 22
g194 12 g180
g195 g89 10
g196 11 53
g197 g83 g40
g198 32 46
g199 g33 g4
g200 g61 g138
g201 61 49
g202 11 g29
g203 34 g47
g204 20 g16
g205 19 g174
g206 g84 26
g207 54 g163
g208 g196 g25
g209 g194 g150
g210 g149 g77
g211 28 g187
g212 30 g10
g213 g41 g169
g214 19 52
g215 g27 g22
g216 g9 g38
g217 g127 g65
g218 g217 45
g219 g32 g67
g220 15 g138
g221 g167 g45
g222 54 g161
g223 g12 g130
g224 48 g156
g225 45 g176
g226 42 g156
g227 g52 g20
g228 g87 g107
g229 36 54
g230 g160 g216
g231 g209 g206
g232 g184 g174
g233 g85 g55
g234 g50 g83
g235 g145 g217
g236 36 g11
g237 g86 g220
g238 g93 g193
g239 g74 g212
g240 8 g92
g241 28 g229
g242 g51 g191
g243 g187 g197
g244 g30 8
g245 17 g11
g246 45 g2
g247 g52 g87
g248 42 g21
g249 g159 g177
g250 g104 g109
g251 g23 g51
g252 g99 g111
g253 g70 g217
g254 6 g47
g255 g131 53
g256 g163 g66
g257 g208 g183
g258 g167 g209
g259 g152 g233
g260 g12 g195
g261 g47 61
g262 30 g59
g263 g230 g37
g264 g161 g140
g265 20 21
g266 46 g96
g267 g93 38
g268 g104 g50
g269 g203 g161
g270 50 g188
g271 g183 g18
g272 g151 g164
g273 6 g230
g274 g141 g150
g275 g19 62
g276 4 g87
g277 g133 g228
g278 g114 g115
g279 g269 9
g280 39 g94
g281 g269 63
g282 g69 g105
g283 g24 g228
g284 g87 42
g285 g206 g75
g286 g53 g88
g287 g67 g6
g288 g161 g268
g289 g244 52
g290 g23 g114
g291 51 g166
g292 g275 g180
g293 g115 g27
g294 g250 g133
g295 g87 g14
g296 g187 g250
g297 g217 25
g298 g261 g170
g299 g215 34
g300 g11 37
g301 0 g283
g302 19 g143
g303 g135 g243
g304 g192 g220
g305 g229 g51
g306 g239 g103
g307 g255 19
g308 g79 g228
g309 g226 g20
g310 g185 g34
g311 g283 43
g312 g30 g268
g313 g104 15
g314 28 g123
g315 g12 g39
g316 g241 g211
g317 6 25
g318 g198 g220
g319 g107 3
g320 g192 g187
g321 g62 g278
g322 g59 g24
g323 g197 32
g324 g285 g80
g325 16 g27
g326 23 g198
g327 g45 g91
g328 g35 g52
g329 30 g194
g330 g143 g144
g331 g21 g300
g332 g299 g16
g333 g195 23
g334 5 g169
g335 g43 g175
g336 g168 g21
g337 9 g154
g338 g196 14
g339 19 49
g340 g312 g68
g341 g57 11
g342 g240 7
g343 g335 g130
g344 g219 g101
g345 g338 g43
g346 g262 g332
g347 g64 51
g348 45 g231
g349 g125 32
g350 30 g180
g351 g73 g89
g352 g155 g196
g353 g67 g230
g354 g94 35
g355 g0 g45
g356 g136 g207
g357 g343 g72
g358 g57 g193
g359 44 g234
g360 g286 g254
g361 g330 g158
g362 g317 g130
g363 g343 g260
g364 g101 g292
g365 g296 g10
g366 24 g42
g367 g92 g34
g368 g298 g286
g369 g230 g16
g370 63 g297
g371 g222 g114
g372 g184 g274
g373 g117 g358
g374 g205 g345
g375 g58 g325
g376 g188 g307
g377 g26 g232
g378 g181 g186
g379 g290 g5
g380 g16 g363
g381 g20 g18
g382 g29 g55
g383 g37 g217
g384 g378 g29
g385 g164 g239
g386 g222 g87
g387 g142 g235
g388 g253 g304
g389 g188 26
g390 g22 g247
g391 g381 g24
g392 g350 g73
g393 g0 g62
g394 g200 7
g395 g323 25
g396 g259 g61
g397 0 g86
g398 g210 g58
g399 g263 g166
g400 g60 19
g401 g98 g357
g402 g279 g191
g403 55 g268
g404 3 15
g405 g288 g381
g406 g99 g381
g407 g189 g196
g408 42 g152
g409 g355 14
g410 g309 62
g411 g216 g237
g412 g115 g266
g413 g167 g175
g414 g224 25
g415 g217 44
g416 g350 g334
g417 g121 g19
g418 g295 g360
g419 g235 g130
g420 g392 g180
g421 g225 g123
g422 g384 g314
g423 g364 0
g424 38 g171
g425 g130 g290
g426 g394 g191
g427 g264 g54
g428 g138 g75
g429 g93 g236
g430 g127 g160
g431 g87 g378
g432 g283 g19
g433 g272 g56
g434 g194 g54
g435 g255 g198
g436 g21 g79
g437 14 g214
g438 g434 g210
g439 g16 g86
g440 g425 g181
g441 g339 g317
g442 g70 g410
g443 g267 g405
g444 g318 45
g445 3 g273
g446 10 g140
g447 g367 g118
g448 g264 g437
g449 g413 g363
g450 g236 g377
g451 g62 g360
g452 g271 g138
g453 g73 0
g454 g440 g306
g455 44 62
g456 g240 47
g457 g368 g5
g458 g217 g41
g459 8 g403
g460 g122 g166
g461 g349 g111
g462 g256 g397
g463 g41 g303
g464 g344 g385
g465 g303 g160
g466 g302 g32
g467 g10 g346
g468 g160 g19
g469 7 13
g470 g296 g426
g471 g42 g134
g472 g157 g244
g473 g104 59
